,loss,accuracy,mean_absolute_error,Pearson,KendallTau
0,"1,6743","0,2527","0,4865","0,9267","0,0569"
1,"1,5311","0,331","0,4617","0,8151","0,1493"
2,"1,4496","0,3717","0,4474","0,7579","0,1957"
3,"1,3907","0,4008","0,4368","0,7225","0,2241"
4,"1,3419","0,4234","0,4276","0,6956","0,2453"
5,"1,3027","0,4413","0,4201","0,6761","0,2605"
6,"1,2687","0,4566","0,4133","0,6599","0,2731"
7,"1,2392","0,4733","0,407","0,6459","0,2839"
8,"1,2129","0,4865","0,4015","0,6335","0,2933"
9,"1,1887","0,4981","0,396","0,6216","0,3025"
10,"1,1668","0,5097","0,3911","0,611","0,3104"
11,"1,1474","0,5201","0,3865","0,6013","0,3173"
12,"1,1287","0,5322","0,3821","0,5919","0,3242"
13,"1,112","0,542","0,378","0,5833","0,3303"
14,"1,0957","0,5524","0,3739","0,5751","0,3359"
15,"1,0809","0,5608","0,3702","0,5675","0,341"
16,"1,0662","0,5714","0,3664","0,5599","0,346"
17,"1,0523","0,58","0,3628","0,5533","0,3506"
18,"1,0392","0,5893","0,3593","0,5464","0,3551"
19,"1,0267","0,5981","0,3559","0,5402","0,3591"
20,"1,0151","0,6058","0,3526","0,5347","0,3625"
21,"1,0031","0,6128","0,3493","0,529","0,3663"
22,"0,9919","0,6208","0,346","0,5233","0,3698"
23,"0,9814","0,6272","0,3431","0,5187","0,3726"
24,"0,9706","0,6344","0,3399","0,5134","0,3757"
25,"0,9608","0,6419","0,3371","0,5092","0,3781"
26,"0,9505","0,6486","0,3339","0,5042","0,3811"
27,"0,9412","0,655","0,3312","0,5001","0,3834"
28,"0,9314","0,6615","0,3283","0,4957","0,3857"
29,"0,9225","0,6665","0,3255","0,4915","0,3881"
30,"0,9136","0,6711","0,3228","0,4881","0,3899"
31,"0,9049","0,6768","0,3201","0,4842","0,392"
32,"0,8959","0,6827","0,3173","0,4802","0,3941"
33,"0,8877","0,6871","0,3146","0,4766","0,396"
34,"0,8798","0,6912","0,3122","0,4735","0,3974"
35,"0,8715","0,6963","0,3096","0,4702","0,399"
36,"0,8639","0,7008","0,3072","0,4669","0,4006"
37,"0,8561","0,7058","0,3046","0,4637","0,4023"
38,"0,8486","0,7098","0,3022","0,4609","0,4035"
39,"0,8408","0,714","0,2996","0,4578","0,4049"
40,"0,8338","0,7177","0,2974","0,4549","0,4063"
41,"0,8265","0,7208","0,2951","0,4524","0,4072"
42,"0,8194","0,7246","0,2928","0,4496","0,4083"
43,"0,8124","0,7286","0,2904","0,4468","0,4097"
44,"0,8052","0,7318","0,2881","0,4443","0,4106"
45,"0,7989","0,7343","0,286","0,4421","0,4114"
46,"0,7921","0,7377","0,2838","0,4396","0,4123"
47,"0,7854","0,7398","0,2816","0,4372","0,4132"
48,"0,7789","0,7428","0,2794","0,4349","0,4141"
49,"0,7727","0,7452","0,2773","0,4326","0,415"
50,"0,7662","0,7474","0,2752","0,4305","0,4157"
51,"0,7597","0,7504","0,273","0,428","0,4167"
52,"0,7538","0,7521","0,271","0,4263","0,4172"
53,"0,7478","0,754","0,2691","0,4242","0,4179"
54,"0,7416","0,7562","0,2669","0,4221","0,4187"
55,"0,7355","0,759","0,2648","0,42","0,4194"
56,"0,7299","0,7604","0,2629","0,4182","0,4198"
57,"0,7241","0,7622","0,261","0,4162","0,4205"
58,"0,7186","0,7633","0,2591","0,4145","0,421"
59,"0,7125","0,7649","0,257","0,4125","0,4215"
60,"0,7073","0,7668","0,2553","0,4109","0,422"
61,"0,7016","0,768","0,2533","0,4089","0,4225"
62,"0,6962","0,7697","0,2514","0,4072","0,4232"
63,"0,6909","0,7707","0,2496","0,4057","0,4234"
64,"0,6854","0,7719","0,2477","0,4037","0,424"
65,"0,6801","0,7737","0,2459","0,4022","0,4244"
66,"0,6751","0,7743","0,2441","0,4005","0,4249"
67,"0,67","0,7755","0,2424","0,3993","0,4251"
68,"0,6649","0,7769","0,2407","0,3978","0,4256"
69,"0,6597","0,7787","0,2389","0,3961","0,4259"
70,"0,6548","0,7807","0,2371","0,3944","0,4265"
71,"0,6517","0,7814","0,2356","0,3938","0,4265"
72,"0,6451","0,7826","0,2338","0,392","0,4269"
73,"0,6404","0,7836","0,2321","0,3905","0,4274"
74,"0,6358","0,7844","0,2305","0,3889","0,4277"
75,"0,6309","0,7859","0,2288","0,3877","0,4281"
76,"0,6264","0,7869","0,2273","0,3863","0,4283"
77,"0,6219","0,7873","0,2257","0,3851","0,4285"
78,"0,6174","0,7889","0,2241","0,3836","0,4289"
79,"0,6129","0,79","0,2225","0,3824","0,4291"
80,"0,6085","0,791","0,221","0,3811","0,4297"
81,"0,6043","0,7914","0,2195","0,38","0,4297"
82,"0,6","0,793","0,218","0,3788","0,43"
83,"0,5957","0,7937","0,2165","0,3775","0,4302"
84,"0,5917","0,7941","0,2151","0,3765","0,4304"
85,"0,5876","0,7952","0,2137","0,3755","0,4306"
86,"0,5834","0,7958","0,2122","0,3742","0,4309"
87,"0,5793","0,7969","0,2108","0,3729","0,4311"
88,"0,5753","0,7972","0,2094","0,3721","0,431"
89,"0,5715","0,7981","0,208","0,3708","0,4317"
90,"0,5674","0,7984","0,2066","0,3697","0,4318"
91,"0,5637","0,799","0,2054","0,3689","0,4318"
92,"0,5599","0,7994","0,2039","0,3679","0,4322"
93,"0,5559","0,8002","0,2025","0,3664","0,4325"
94,"0,5526","0,8002","0,2014","0,3659","0,4325"
95,"0,5488","0,8008","0,2001","0,3648","0,4326"
96,"0,5452","0,8011","0,1988","0,3642","0,4326"
97,"0,5418","0,8014","0,1976","0,363","0,4329"
98,"0,5382","0,8021","0,1963","0,362","0,4331"
99,"0,5348","0,802","0,1952","0,3613","0,4331"
100,"0,5313","0,8027","0,194","0,3603","0,4333"
101,"0,5281","0,8026","0,1929","0,3596","0,4333"
102,"0,5246","0,8036","0,1916","0,3587","0,4335"
103,"0,5212","0,804","0,1905","0,3578","0,4337"
104,"0,5179","0,8047","0,1893","0,3568","0,434"
105,"0,515","0,8047","0,1883","0,3561","0,434"
106,"0,5118","0,8045","0,1872","0,3556","0,434"
107,"0,5086","0,8059","0,1861","0,3544","0,4342"
108,"0,5053","0,8065","0,1849","0,3536","0,4345"
109,"0,5024","0,806","0,1839","0,353","0,4344"
110,"0,4992","0,8063","0,1828","0,3521","0,4345"
111,"0,4964","0,8077","0,1818","0,3512","0,4349"
112,"0,4935","0,807","0,1808","0,3509","0,4346"
113,"0,4906","0,8074","0,1799","0,35","0,4347"
114,"0,4875","0,8078","0,1787","0,349","0,4351"
115,"0,4846","0,808","0,1777","0,3485","0,4351"
116,"0,4819","0,8083","0,1768","0,348","0,4351"
117,"0,4793","0,8083","0,1759","0,3474","0,435"
118,"0,4766","0,8086","0,175","0,3468","0,4351"
119,"0,4737","0,8089","0,174","0,346","0,4353"
120,"0,4711","0,8095","0,173","0,3451","0,4355"
121,"0,4683","0,8097","0,1721","0,3447","0,4355"
122,"0,4655","0,8106","0,171","0,3437","0,4359"
123,"0,4632","0,811","0,1703","0,3434","0,4358"
124,"0,4607","0,8111","0,1694","0,3427","0,4358"
125,"0,4581","0,8115","0,1684","0,342","0,4361"
126,"0,4554","0,8116","0,1675","0,3414","0,4361"
127,"0,4533","0,8113","0,1668","0,3408","0,4361"
128,"0,4508","0,812","0,1659","0,3401","0,4363"
129,"0,4484","0,8118","0,1651","0,3396","0,4363"
130,"0,4459","0,8121","0,1642","0,3391","0,4363"
131,"0,4438","0,8124","0,1635","0,3386","0,4364"
132,"0,4413","0,8125","0,1626","0,3378","0,4365"
133,"0,4388","0,8133","0,1617","0,3371","0,4367"
134,"0,4368","0,813","0,1611","0,3369","0,4365"
135,"0,4344","0,8135","0,1602","0,3362","0,4366"
136,"0,4322","0,8136","0,1595","0,3356","0,4367"
137,"0,4301","0,8135","0,1587","0,335","0,4368"
138,"0,4281","0,8139","0,1581","0,3348","0,4367"
139,"0,4258","0,8139","0,1573","0,3344","0,4367"
140,"0,4239","0,814","0,1567","0,3339","0,4368"
141,"0,4215","0,8144","0,1558","0,333","0,437"
142,"0,42","0,8141","0,1552","0,3328","0,4369"
143,"0,4175","0,8139","0,1545","0,3325","0,4368"
144,"0,4154","0,8141","0,1537","0,3318","0,437"
145,"0,4135","0,8142","0,1531","0,3312","0,4371"
146,"0,4114","0,8145","0,1523","0,3309","0,4371"
147,"0,4095","0,8142","0,1517","0,3304","0,437"
148,"0,4077","0,8138","0,1511","0,3301","0,4369"
149,"0,4056","0,8145","0,1503","0,3293","0,4372"
150,"0,4038","0,8143","0,1498","0,329","0,4371"
151,"0,4019","0,8148","0,1491","0,3285","0,4373"
152,"0,4002","0,8148","0,1485","0,3282","0,4372"
153,"0,3983","0,8148","0,1479","0,3278","0,4371"
154,"0,3965","0,8149","0,1473","0,3272","0,4372"
155,"0,3948","0,8148","0,1467","0,327","0,4372"
156,"0,393","0,8153","0,1461","0,3267","0,4372"
157,"0,3911","0,8151","0,1454","0,3261","0,4372"
158,"0,3896","0,8151","0,1449","0,3257","0,4372"
159,"0,3879","0,8149","0,1444","0,3254","0,437"
160,"0,3859","0,8155","0,1436","0,3247","0,4374"
161,"0,3843","0,8155","0,1431","0,3244","0,4372"
162,"0,3829","0,815","0,1427","0,3243","0,4371"
163,"0,381","0,8154","0,142","0,3239","0,4373"
164,"0,3794","0,8158","0,1414","0,3233","0,4373"
165,"0,378","0,8157","0,141","0,3231","0,4372"
166,"0,3765","0,8157","0,1405","0,3227","0,4372"
167,"0,375","0,8153","0,14","0,3228","0,437"
168,"0,3735","0,8156","0,1395","0,3222","0,4371"
169,"0,3719","0,8157","0,1389","0,3218","0,4372"
170,"0,3708","0,8156","0,1386","0,3217","0,437"
171,"0,3693","0,8156","0,1381","0,3212","0,437"
172,"0,3679","0,8151","0,1376","0,3211","0,4369"
173,"0,3664","0,8155","0,1372","0,3208","0,4369"
174,"0,3651","0,8157","0,1367","0,3205","0,4369"
175,"0,3636","0,816","0,1362","0,32","0,437"
176,"0,3625","0,8155","0,1358","0,3198","0,4369"
177,"0,3614","0,8153","0,1355","0,32","0,4367"
178,"0,3599","0,8162","0,135","0,3193","0,4368"
179,"0,3583","0,8165","0,1344","0,3191","0,4369"
180,"0,3573","0,8157","0,1342","0,319","0,4367"
181,"0,3559","0,816","0,1337","0,3186","0,4367"
182,"0,3546","0,8159","0,1332","0,3182","0,4367"
183,"0,3537","0,8154","0,133","0,3183","0,4365"
184,"0,3526","0,8158","0,1326","0,3179","0,4364"
185,"0,3511","0,8157","0,1321","0,3174","0,4366"
186,"0,3498","0,8155","0,1317","0,3174","0,4364"
187,"0,3488","0,8153","0,1314","0,3174","0,4363"
188,"0,3478","0,8151","0,1311","0,3172","0,4362"
189,"0,3466","0,8148","0,1307","0,317","0,4361"
190,"0,3454","0,8148","0,1303","0,3167","0,4361"
191,"0,3441","0,8148","0,1299","0,3162","0,4362"
192,"0,3432","0,8145","0,1296","0,3164","0,436"
193,"0,3417","0,8145","0,1291","0,3158","0,4362"
194,"0,3409","0,8148","0,1289","0,3159","0,436"
195,"0,3401","0,8142","0,1287","0,3157","0,4359"
196,"0,3387","0,8145","0,1281","0,3154","0,436"
197,"0,3377","0,8144","0,1278","0,3154","0,4359"
198,"0,3371","0,8144","0,1277","0,3151","0,4358"
199,"0,3358","0,8147","0,1272","0,3148","0,4358"
200,"0,3349","0,8146","0,127","0,3147","0,4358"
201,"0,3341","0,8146","0,1267","0,3147","0,4356"
202,"0,3333","0,8147","0,1265","0,3145","0,4355"
203,"0,3323","0,8146","0,1261","0,3143","0,4356"
204,"0,3309","0,8153","0,1256","0,314","0,4356"
205,"0,3305","0,8145","0,1256","0,3142","0,4353"
206,"0,3295","0,8146","0,1253","0,3138","0,4354"
207,"0,3286","0,8146","0,125","0,3136","0,4353"
208,"0,3278","0,8146","0,1247","0,3135","0,4353"
209,"0,3273","0,8143","0,1246","0,3136","0,4351"
210,"0,3262","0,8142","0,1243","0,3135","0,4351"
211,"0,3257","0,814","0,1241","0,3134","0,435"
212,"0,3247","0,8144","0,1237","0,3129","0,4352"
213,"0,324","0,814","0,1235","0,3129","0,4351"
214,"0,3232","0,8138","0,1233","0,3131","0,4348"
215,"0,3223","0,814","0,123","0,3128","0,4349"
216,"0,3216","0,8141","0,1227","0,3123","0,4349"
217,"0,3209","0,8139","0,1226","0,3125","0,4348"
218,"0,3202","0,8139","0,1223","0,3123","0,4347"
219,"0,3196","0,8138","0,1222","0,3124","0,4346"
220,"0,3186","0,8137","0,1218","0,3119","0,4346"
221,"0,3181","0,814","0,1217","0,3119","0,4346"
222,"0,3172","0,814","0,1213","0,3117","0,4347"
223,"0,3167","0,8137","0,1212","0,3118","0,4345"
224,"0,316","0,8138","0,121","0,3118","0,4344"
225,"0,3155","0,8136","0,1209","0,3115","0,4343"
226,"0,3148","0,8137","0,1207","0,3115","0,4343"
227,"0,3141","0,8138","0,1205","0,3115","0,4342"
228,"0,3132","0,8138","0,1201","0,3111","0,4342"
229,"0,3129","0,8137","0,1201","0,311","0,4341"
230,"0,3124","0,8133","0,12","0,3112","0,4339"
231,"0,3113","0,8137","0,1195","0,3108","0,4342"
232,"0,3109","0,8136","0,1194","0,3107","0,434"
233,"0,3107","0,8129","0,1194","0,3109","0,4338"
234,"0,3096","0,8132","0,119","0,3107","0,434"
235,"0,3091","0,8132","0,1189","0,3104","0,4339"
236,"0,3086","0,813","0,1187","0,3104","0,4338"
237,"0,3083","0,8132","0,1186","0,3103","0,4338"
238,"0,3081","0,813","0,1186","0,3107","0,4336"
239,"0,3076","0,8133","0,1185","0,3104","0,4337"
240,"0,307","0,8135","0,1182","0,3101","0,4338"
241,"0,3069","0,8132","0,1183","0,3103","0,4337"
242,"0,3064","0,813","0,118","0,3099","0,4337"
243,"0,3057","0,8123","0,1178","0,3098","0,4337"
244,"0,3051","0,8123","0,1176","0,3096","0,4336"
245,"0,3043","0,8131","0,1173","0,3094","0,4335"
246,"0,3035","0,813","0,117","0,3091","0,4336"
247,"0,3033","0,8128","0,1169","0,309","0,4335"
248,"0,303","0,8124","0,1169","0,3093","0,4334"
249,"0,3024","0,813","0,1167","0,3089","0,4335"
250,"0,3017","0,8133","0,1164","0,3089","0,4335"
251,"0,3016","0,8126","0,1164","0,309","0,4334"
252,"0,301","0,8129","0,1162","0,3088","0,4335"
253,"0,3007","0,8129","0,1161","0,3086","0,4335"
254,"0,3007","0,8124","0,1162","0,309","0,4333"
255,"0,3003","0,8126","0,1161","0,3087","0,4333"
256,"0,2997","0,813","0,1158","0,3084","0,4336"
257,"0,2994","0,8129","0,1157","0,3087","0,4335"
258,"0,2993","0,813","0,1158","0,3089","0,4334"
259,"0,2992","0,8127","0,1158","0,3087","0,4334"
260,"0,299","0,8125","0,1157","0,3088","0,4334"
261,"0,2987","0,8126","0,1156","0,3087","0,4335"
262,"0,2983","0,813","0,1154","0,3084","0,4337"
263,"0,2984","0,8123","0,1155","0,3087","0,4336"
264,"0,2977","0,8129","0,1152","0,3083","0,4338"
265,"0,2977","0,813","0,1153","0,3084","0,4337"
266,"0,2978","0,8124","0,1153","0,3084","0,4336"
267,"0,2967","0,8129","0,1149","0,3082","0,4338"
268,"0,296","0,8126","0,1147","0,3083","0,4336"
269,"0,2957","0,8124","0,1146","0,3081","0,4335"
270,"0,2947","0,8131","0,1142","0,3077","0,4335"
271,"0,2942","0,8125","0,1141","0,3077","0,4334"
272,"0,2939","0,8124","0,114","0,3078","0,4333"
273,"0,2935","0,8123","0,1139","0,3077","0,4332"
274,"0,2931","0,8124","0,1138","0,3076","0,4332"
275,"0,2923","0,8129","0,1135","0,3074","0,4332"
276,"0,2925","0,8126","0,1136","0,3076","0,433"
277,"0,2919","0,8126","0,1134","0,3072","0,4331"
278,"0,2917","0,8127","0,1134","0,3073","0,433"
279,"0,2914","0,8129","0,1133","0,3072","0,4329"
280,"0,2913","0,8127","0,1133","0,3073","0,4328"
281,"0,2907","0,8127","0,1131","0,3073","0,4328"
282,"0,2907","0,8128","0,1131","0,3074","0,4328"
283,"0,2902","0,8131","0,1129","0,307","0,4329"
284,"0,29","0,8126","0,1128","0,3071","0,4328"
285,"0,2898","0,8126","0,1128","0,3074","0,4325"
286,"0,2894","0,8129","0,1127","0,3072","0,4327"
287,"0,2891","0,813","0,1126","0,3069","0,4327"
288,"0,2889","0,8129","0,1126","0,3072","0,4326"
289,"0,2887","0,8129","0,1125","0,3071","0,4325"
290,"0,2885","0,8126","0,1125","0,3072","0,4324"
291,"0,2881","0,8129","0,1123","0,3068","0,4325"
292,"0,288","0,8129","0,1123","0,3068","0,4325"
293,"0,2875","0,8133","0,1121","0,3067","0,4326"
294,"0,2874","0,8128","0,1121","0,3069","0,4324"
295,"0,2873","0,813","0,1121","0,307","0,4323"
296,"0,2872","0,8128","0,1121","0,3068","0,4322"
297,"0,2869","0,8125","0,112","0,3069","0,4322"
298,"0,2867","0,813","0,1119","0,307","0,4322"
299,"0,2862","0,813","0,1118","0,3067","0,4323"
300,"0,2863","0,8132","0,1118","0,3067","0,4322"
301,"0,2863","0,8124","0,1119","0,3069","0,432"
302,"0,2855","0,8128","0,1116","0,3066","0,4323"
303,"0,2856","0,8124","0,1116","0,3066","0,4322"
304,"0,2858","0,8123","0,1117","0,3069","0,4321"
305,"0,285","0,8128","0,1114","0,3068","0,4323"
306,"0,2849","0,8132","0,1114","0,3066","0,4323"
307,"0,2848","0,8125","0,1114","0,3067","0,4323"
308,"0,2849","0,8128","0,1114","0,3068","0,4324"
309,"0,285","0,8126","0,1115","0,3073","0,4322"
310,"0,2848","0,8127","0,1115","0,307","0,4324"
311,"0,2845","0,8124","0,1113","0,3069","0,4327"
312,"0,2848","0,813","0,1115","0,307","0,4326"
313,"0,2847","0,8134","0,1114","0,3069","0,4327"
314,"0,2846","0,8136","0,1114","0,3071","0,4327"
315,"0,2844","0,813","0,1114","0,3072","0,4326"
316,"0,2839","0,8131","0,1112","0,307","0,4326"
317,"0,2834","0,8127","0,111","0,3067","0,4327"
318,"0,2832","0,8129","0,111","0,3065","0,4326"
319,"0,283","0,8124","0,1109","0,3069","0,4323"
320,"0,2825","0,8129","0,1108","0,3064","0,4323"
321,"0,282","0,8133","0,1106","0,3065","0,4324"
322,"0,2821","0,8124","0,1107","0,3066","0,4323"
323,"0,2817","0,8128","0,1105","0,3065","0,4323"
324,"0,2815","0,8133","0,1104","0,3062","0,4325"
325,"0,2818","0,8123","0,1106","0,3066","0,4322"
326,"0,2815","0,8125","0,1105","0,3063","0,4322"
327,"0,281","0,8128","0,1103","0,3061","0,4325"
328,"0,2808","0,8128","0,1102","0,3063","0,4323"
329,"0,2808","0,8128","0,1103","0,3065","0,4321"
330,"0,2808","0,8128","0,1103","0,3063","0,4321"
331,"0,2807","0,8128","0,1103","0,3064","0,4321"
332,"0,2805","0,813","0,1102","0,3063","0,4321"
333,"0,2799","0,8133","0,11","0,3059","0,4323"
